Namespace(model='nnet', skip_preprocess=True, train_prop='0.50')

Training a nnet model

Iteration 1, loss = 0.83492094
Iteration 2, loss = 0.53467035
Iteration 3, loss = 0.47469591
Iteration 4, loss = 0.45591858
Iteration 5, loss = 0.44445919
Iteration 6, loss = 0.43317608
Iteration 7, loss = 0.42498634
Iteration 8, loss = 0.41844472
Iteration 9, loss = 0.41534307
Iteration 10, loss = 0.40697048
Iteration 11, loss = 0.40522595
Iteration 12, loss = 0.39786538
Iteration 13, loss = 0.39530238
Iteration 14, loss = 0.39431728
Iteration 15, loss = 0.38856267
Iteration 16, loss = 0.38441477
Iteration 17, loss = 0.38637713
Iteration 18, loss = 0.37912554
Iteration 19, loss = 0.37800011
Iteration 20, loss = 0.37881570
Iteration 21, loss = 0.37245251
Iteration 22, loss = 0.37325549
Iteration 23, loss = 0.36855997
Iteration 24, loss = 0.36822180
Iteration 25, loss = 0.36645371
Iteration 26, loss = 0.36461582
Iteration 27, loss = 0.36443504
Iteration 28, loss = 0.36120158
Iteration 29, loss = 0.36097894
Iteration 30, loss = 0.35921699
Iteration 31, loss = 0.35798202
Iteration 32, loss = 0.35508390
Iteration 33, loss = 0.35581222
Iteration 34, loss = 0.35205508
Iteration 35, loss = 0.35105548
Iteration 36, loss = 0.35216919
Iteration 37, loss = 0.34957546
Iteration 38, loss = 0.34927880
Iteration 39, loss = 0.34762033
Iteration 40, loss = 0.34753184
Iteration 41, loss = 0.34561070
Iteration 42, loss = 0.34387430
Iteration 43, loss = 0.34449659
Iteration 44, loss = 0.34355768
Iteration 45, loss = 0.34195359
Iteration 46, loss = 0.34356244
Iteration 47, loss = 0.34134127
Iteration 48, loss = 0.33745643
Iteration 49, loss = 0.34084330
Iteration 50, loss = 0.33690544
Iteration 51, loss = 0.33938888
Iteration 52, loss = 0.33564104
Iteration 53, loss = 0.33580140
Iteration 54, loss = 0.33567607
Iteration 55, loss = 0.33305689
Iteration 56, loss = 0.33302054
Iteration 57, loss = 0.33554619
Iteration 58, loss = 0.33159574
Iteration 59, loss = 0.33156182
Iteration 60, loss = 0.32832256
Iteration 61, loss = 0.33046146
Iteration 62, loss = 0.32840941
Iteration 63, loss = 0.33151319
Iteration 64, loss = 0.33015725
Iteration 65, loss = 0.32866752
Iteration 66, loss = 0.32847886
Iteration 67, loss = 0.32734340
Iteration 68, loss = 0.32606155
Iteration 69, loss = 0.32715975
Iteration 70, loss = 0.32571665
Iteration 71, loss = 0.32529687
Iteration 72, loss = 0.32521000
Iteration 73, loss = 0.32657550
Iteration 74, loss = 0.32361981
Iteration 75, loss = 0.32577831
Iteration 76, loss = 0.32243088
Iteration 77, loss = 0.32125126
Iteration 78, loss = 0.32140286
Iteration 79, loss = 0.32268695
Iteration 80, loss = 0.32275430
Iteration 81, loss = 0.32234230
Iteration 82, loss = 0.31969117
Iteration 83, loss = 0.32077555
Iteration 84, loss = 0.32184251
Iteration 85, loss = 0.31917922
Iteration 86, loss = 0.32009297
Iteration 87, loss = 0.32184447
Iteration 88, loss = 0.32022327
Iteration 89, loss = 0.32090922
Iteration 90, loss = 0.31831857
Iteration 91, loss = 0.31716666
Iteration 92, loss = 0.31805393
Iteration 93, loss = 0.31777714
Iteration 94, loss = 0.31986395
Iteration 95, loss = 0.31755465
Iteration 96, loss = 0.31727123
Iteration 97, loss = 0.31761357
Iteration 98, loss = 0.31723150
Iteration 99, loss = 0.31709314
Iteration 100, loss = 0.31683703
Iteration 101, loss = 0.31774486
Iteration 102, loss = 0.31649907
Iteration 103, loss = 0.31580338
Iteration 104, loss = 0.31467521
Iteration 105, loss = 0.31644613
Iteration 106, loss = 0.31663085
Iteration 107, loss = 0.31540521
Iteration 108, loss = 0.31393324
Iteration 109, loss = 0.31518289
Iteration 110, loss = 0.31492865
Iteration 111, loss = 0.31537728
Iteration 112, loss = 0.31403348
Iteration 113, loss = 0.31473062
Iteration 114, loss = 0.31517917
Iteration 115, loss = 0.31303210
Iteration 116, loss = 0.31804680
Iteration 117, loss = 0.31238948
Iteration 118, loss = 0.31240728
Iteration 119, loss = 0.31329946
Iteration 120, loss = 0.31308106
Iteration 121, loss = 0.31159087
Iteration 122, loss = 0.31170701
Iteration 123, loss = 0.31234951
Iteration 124, loss = 0.31187824
Iteration 125, loss = 0.31096133
Iteration 126, loss = 0.31077569
Iteration 127, loss = 0.31109886
Iteration 128, loss = 0.31065944
Iteration 129, loss = 0.30962200
Iteration 130, loss = 0.31201749
Iteration 131, loss = 0.31224800
